Year,Genre,Movie,US Gross ,Budget ,Run Time (min),Critic Score
2012,Drama,django unchained,162.805434,100,165,88
2012,Comedy,parental guidance,77.264926,25,105,18
2012,Thriller,the impossible,19.019882,40,114,81
2012,Thriller,jack reacher,80.070736,60,130,61
2012,Comedy,this is 40,67.544505,35,134,51
2012,Comedy,the guilt trip,37.134215,40,95,38
2012,Adventure,the hobbit: an unexpected journey,303.003568,250,169,64
2012,Drama,playing for keeps,13.102272,35,105,4
2012,Drama,killing them softly,15.026056,15,97,75
2012,Thriller,red dawn,44.806783,65,93,12
2012,Comedy,silver linings playbook,132.092958,21,122,92
2012,Adventure,life of pi,124.987023,120,127,87
2012,Adventure,rise of the guardians,103.412758,145,97,74
2012,Drama,twilight saga: breaking dawn part 2,281.287133,136.2,115,49
2012,Thriller,skyfall,304.360277,200,143,92
2012,Adventure,the man with the iron fists,15.63409,15,196,49
2012,Comedy,wreck-it-ralph,189.422889,165,108,86
2012,Drama,flight,93.772375,31,139,78
2012,Drama,silent hill: revelations 3d,17.529157,20,94,5
2012,Adventure,fun size,9.409538,14,90,25
2012,Drama,chasing mavericks,6.002756,20,111,31
2012,Drama,cloud atlas,27.108272,102,164,66
2012,Thriller,alex cross,25.888412,35,101,12
2012,Horror,paranormal activity 4,53.900335,5,95,24
2012,Action,here comes the boom,45.290318,42,105,38
2012,Thriller,argo,136.025503,44.5,120,96
2012,Horror,frankenweenie,35.291068,39,87,87
2012,Action,taken 2,139.854287,45,91,21
2012,Drama,won't back down,5.310554,19,121,33
2012,Drama,looper,66.486205,30,118,93
2012,Horror,hotel transylvania,148.313048,85,91,45
2012,Drama,trouble with the curve,35.763137,60,111,50
2012,Thriller,dredd,13.414714,45,95,78
2012,Horror,house at the end of the street,31.611916,6.9,101,10
2012,Adventure,resident evil: retribution,42.345531,65,95,31
2012,Drama,the words,11.494838,6,96,22
2012,Thriller,the cold light of day,3.763583,20,93,5
2012,Horror,the possession,49.130154,14,91,40
2012,Drama,lawless,37.400127,26,115,67
2012,Thriller,premium rush,20.275446,35,91,76
2012,Action,hit and run,13.7493,2,100,49
2012,Horror,paranorman,56.003051,60,93,87
2012,Drama,sparkle,24.397469,10,120,57
2012,Action,the expendables 2,85.028192,100,102,65
2012,Drama,the odd life of timothy green,51.854875,40,100,33
2012,Action,the bourne legacy,113.20387,125,135,55
2012,Drama,hope springs,63.536011,30,121,74
2012,Thriller,total recall,58.877969,125,121,30
2012,Comedy,diary of a wimpy kid: dog days,49.008662,22,94,51
2012,Drama,step up revolution,35.074677,33,106,42
2012,Action,the watch,35.353,55,102,17
2012,Thriller,the dark knight rises,448.139099,250,165,88
2012,Adventure,ice age: continental drift,161.321843,95,88,37
2012,Drama,savages,47.382068,45,143,51
2012,Comedy,katy perry: part of me,25.326071,12,117,78
2012,Action,the amazing spiderman,262.030663,220,136,73
2012,Drama,tyler perry's madea's witness protection,65.653242,20,114,21
2012,Drama,magic mike,113.721571,7,111,80
2012,Comedy,ted,218.815487,50,106,68
2012,Drama,seeking a friend for the end of the world,7.078738,10,102,56
2012,Horror,abraham lincoln: vampire hunter,37.519139,67.5,105,35
2012,Drama,brave,237.283207,185,102,78
2012,Comedy,that's my boy,36.931089,67.5,114,20
2012,Drama,rock of ages,38.518613,70,136,41
2012,Drama,prometheus,126.477084,125,124,73
2012,Adventure,madagascar 3: europe's most wanted,216.391482,145,95,79
2012,Adventure,snow white and the huntsman,155.332381,170,133,48
2012,Thriller,chernobyl diaries,18.11964,1,93,19
2012,Adventure,men in black iii,179.020854,215,106,70
2012,Drama,what to expect when you're expecting,41.152203,37.5,110,22
2012,Comedy,the dictator,59.650222,65,83,57
2012,Horror,dark shadows,79.727149,150,113,37
2012,Action,the avengers,623.35791,225,143,92
2012,Comedy,the five-year engagement,28.835528,30,124,63
2012,Drama,the raven,16.008272,26,111,23
2012,Thriller,safe,17.14208,33,95,57
2012,Comedy,the pirates! band of misfits,31.051126,55,88,86
2012,Drama,the lucky one,60.457138,25,101,20
2012,Comedy,think like a man,91.547205,12,122,53
2012,Comedy,the three stooges,44.338224,30,92,51
2012,Thriller,lockout,14.326864,20,96,38
2012,Horror,the cabin in the woods,42.073277,30,105,91
2012,Comedy,american reunion,57.011521,50,113,43
2012,Drama,mirror mirror,64.935167,85,108,49
2012,Action,wrath of the titans,83.670083,150,100,25
2012,Action,the hunger games,408.010692,80,142,84
2012,Comedy,21 jump street,138.447667,42,110,85
2012,Drama,a thousand words,18.450127,40,91,0
2012,Action,john carter,73.0781,250,139,51
2012,Drama,silent house,12.754783,2,88,41
2012,Comedy,project x,54.731865,12,94,28
2012,Adventure,dr. seuss' the lorax,214.0305,67.5,95,54
2012,Comedy,good deeds,35.025791,14,129,31
2012,Thriller,act of valor,70.012847,12,110,25
2012,Comedy,wanderlust,17.450535,32.5,98,59
2012,Action,this means war,54.760791,65,98,26
2012,Adventure,the secret world of arrietty,19.202743,23,96,94
2012,Thriller,ghost rider: spirit of vengeance,51.774002,57,96,26
2012,Drama,the vow,125.01403,30,104,29
2012,Thriller,safe house,126.373434,85,115,53
2012,Adventure,journey 2: the mysterious island,103.86029,79,94,42
2012,Drama,big miracle,20.1573,40,107,73
2012,Drama,the woman in black,54.33329,15,95,66
2012,Thriller,chronicle,64.575175,12,111,85
2012,Action,the grey,51.580236,25,117,79
2012,Thriller,man on a ledge,18.62,42,102,32
2012,Thriller,one for the money,26.414527,42,92,2
2012,Action,haywire,18.942396,23,93,80
2012,Thriller,underworld: awakening,62.321039,70,88,26
2012,Drama,red tails,49.876377,58,121,40
2012,Drama,contraband,66.528,25,111,51
2012,Comedy,joyful noise,30.932113,27.5,118,33
2012,Horror,the devil inside,53.261944,1,83,6
2011,Drama,the darkest hour,21.443494,34.8,89,12
2011,Drama,war horse,79.884879,70,146,77
2011,Comedy,we bought a zoo,75.62455,50,131,66
2011,Action,mission: impossible: ghost protocol,209.397903,145,133,93
2011,Adventure,the adventures of tintin,77.591831,130,107,75
2011,Thriller,the girl with the dragon tattoo,102.515793,90,158,86
2011,Thriller,sherlock holmes: a game of shadows,186.848418,125,129,60
